smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CC1(C(=O)N2CCNC(=O)C23CCC3)CC1(Cl)Cl,124456,1,14876,0.7093040510658931,0.7093040510658931,1,22,3008771,O=C1NCCNC12CCC2,51,CC1(C(=O)O)CC1(Cl)Cl,,
C=C(F)CNC(=O)NC1C2COCC1CN(C(=O)OC(C)(C)C)C2,132795,1,18641,0.7093004384504386,0.7093004384504386,1,2708,11470877,CC(C)(C)OC(=O)N1CC2COCC(C1)C2N,3278572,C=C(F)CN,,
CSCc1noc(CNC(=O)NC2(C)CN(C(C)=O)C2)n1,108761,1,7782,0.7092894549894548,0.7092894549894548,1,2708,2804754,CSCc1noc(CN)n1,9960295,CC(=O)N1CC(C)(N)C1,,
C#CCC(CO)NC(=O)NCc1ccc2nonc2c1,134047,1,19200,0.7092760905760904,0.7092760905760904,1,2708,2804761,NCc1ccc2nonc2c1,3059628,C#CCC(N)CO,,
CCc1c(NC(=O)N2CC(O)(COC)C2)cnn1CC(C)C,94342,1,1288,0.7092728715728717,0.7092728715728717,1,2430,10651857,CCc1c(N)cnn1CC(C)C,22091830,COCC1(O)CNC1,,
CCC(COCC1CC1)NC(=O)NCCc1ccc2c(c1)CCOC2,128475,1,16683,0.7092677079456491,0.7092677079456491,1,2708,10931621,NCCc1ccc2c(c1)CCOC2,7524899,CCC(N)COCC1CC1,,
CC1CC(C)CN(CCCCCCCNC(=O)OC(C)(C)C)C1,103942,1,5589,0.7092613247863249,0.7092613247863249,1,2230,777,CC1CNCC(C)C1,11313059,CC(C)(C)OC(=O)NCCCCCCCBr,,
CCOC(=O)c1nc([C@H](CC)NC(=O)NCC(O)CCOC)n[nH]1,132608,1,18558,0.7092584915084916,0.7092584915084916,1,2708,27232483,CCOC(=O)c1nc([C@@H](N)CC)n[nH]1,27029801,COCCC(O)CN,,
CNC(=O)CNCC(=O)N(C)C(=O)c1ccc2c(n1)NCC2,127616,1,16297,0.7092562409812411,0.7092562409812411,1,22,3781733,CNC(=O)CNCC(=O)NC,27026481,O=C(O)c1ccc2c(n1)NCC2,,
C[C@]1(CO)CN(C2CCN(CCCF)C2)C[C@@]1(C)CO,95229,0,1679,0.7092533196575792,0.0,1,2230,24223728,C[C@]1(CO)CNC[C@@]1(C)CO,26388608,FCCCN1CCC(Cl)C1,,
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C#N)cc1)C(=O)N1CCC(Nc2ccc(Cl)cc2)CC1,117026,1,11513,0.7092473665223664,0.7092473665223664,1,22,7638986,Clc1ccc(NC2CCNCC2)cc1,74201,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C#N)cc1)C(=O)O,,
CN1C(=O)C[C@H](NC(=O)NCc2cnn(C)c2)[C@H]1c1ccc(Cl)cc1,126972,0,16005,0.7092452075702076,0.0,1,2708,24950146,CN1C(=O)C[C@H](N)[C@H]1c1ccc(Cl)cc1,2019213,Cn1cc(CN)cn1,,
